Model	Epochs	Lambda	Numerical tests	Categorical tests	Distances 	Numerical correlations 	Categorical correlations	Average Precision	Average Recall 	Average Accuracy 	Average F1
distcorrgan	250	1.5	0.333333333	0.051948052	0.890909091	0.481818182	0.278181818	0.674130909	0.671487273	0.671736364	0.669205455
distcorrgan	250	2	0.381818182	0.051948052	0.909090909	0.472727273	0.302727273	0.677223636	0.674376364	0.67466	0.6719
distcorrgan	250	5	0.387878788	0	0.896969697	0.472727273	0.247272727	0.683669091	0.681454545	0.681865455	0.678581818
distcorrgan	300	0.2	0.278787879	0.038961039	0.866666667	0.581818182	0.348181818	0.663278182	0.658667273	0.6587	0.656890909
distcorrgan	300	0.4	0.272727273	0.051948052	0.866666667	0.636363636	0.350909091	0.6591	0.654418182	0.654490909	0.652192727
distcorrgan	300	0.6	0.339393939	0.025974026	0.878787879	0.472727273	0.285454545	0.669056364	0.663763636	0.663932727	0.661043636
distcorrgan	300	0.8	0.36969697	0.051948052	0.896969697	0.590909091	0.248181818	0.665523636	0.662261818	0.662403636	0.659892727
distcorrgan	300	1	0.363636364	0	0.890909091	0.572727273	0.260909091	0.667507273	0.663236364	0.663434545	0.66098
distcorrgan	300	1.5	0.393939394	0.051948052	0.896969697	0.509090909	0.255454545	0.65522	0.651572727	0.65168	0.649032727
distcorrgan	300	2	0.412121212	0.051948052	0.884848485	0.481818182	0.257272727	0.672743636	0.669170909	0.669318182	0.667096364
distcorrgan	300	5	0.357575758	0.051948052	0.896969697	0.563636364	0.287272727	0.671350909	0.668465455	0.668525455	0.667154545
multifairgan	50	0.2	0.012121212	0.038961039	0.878787879	0.363636364	0.311818182	0.71728	0.713594545	0.713876364	0.711007273
multifairgan	50	0.4	0.078787879	0.038961039	0.884848485	0.363636364	0.295454545	0.729272727	0.725963636	0.726238182	0.723858182
multifairgan	50	0.6	0.072727273	0.025974026	0.872727273	0.327272727	0.239090909	0.732818182	0.728636364	0.729003636	0.726154545
multifairgan	50	0.8	0.036363636	0.038961039	0.890909091	0.363636364	0.290909091	0.712614545	0.709769091	0.710029091	0.707727273
multifairgan	50	1	0.012121212	0.025974026	0.872727273	0.345454545	0.326363636	0.748036364	0.744301818	0.744458182	0.743178182
multifairgan	50	1.5	0.012121212	0.064935065	0.872727273	0.354545455	0.235454545	0.72604	0.723563636	0.723774545	0.722349091
multifairgan	50	2	0.012121212	0.025974026	0.878787879	0.363636364	0.311818182	0.728683636	0.725932727	0.726138182	0.724616364
